bowler,runs_conceded,legal_balls,overs,wickets,economy,bowling_avg,bowling_sr,dob,batting_hand,bowling_skill,country
A Ashish Reddy,396,262,43.666666666666664,18.0,9.068702290076336,22.0,14.555555555555555,1991-02-24,Right_Hand,Right-arm medium,India
A Chandila,242,234,39.0,11.0,6.205128205128205,22.0,21.272727272727273,1983-12-05,Right_Hand,Right-arm offbreak,India
A Choudhary,144,101,16.833333333333332,5.0,8.554455445544555,28.8,20.2,,Right_hand,Left-arm fast-medium,
A Dananjaya,48,24,4.0,0.0,12.0,,,,Right_Hand,Right-arm offbreak,
A Flintoff,105,66,11.0,2.0,9.545454545454545,52.5,33.0,1977-12-06,Right_Hand,Right-arm fast-medium,England
A Joseph,92,52,8.666666666666666,6.0,10.615384615384617,15.333333333333334,8.666666666666666,,Right_Hand,Right-arm fast,
A Kumble,1058,965,160.83333333333334,45.0,6.578238341968912,23.511111111111113,21.444444444444443,1970-10-17,Right_Hand,Legbreak googly,India
A Mishra,3804,3102,517.0,156.0,7.3578336557059965,24.384615384615383,19.884615384615383,1982-11-24,Right_Hand,Legbreak,India
A Mithun,472,288,48.0,7.0,9.833333333333334,67.42857142857143,41.142857142857146,1989-10-25,Right_Hand,Right-arm medium,India
A Nehra,2495,1908,318.0,106.0,7.845911949685535,23.537735849056602,18.0,1979-04-29,Right_Hand,Left-arm medium-fast,India
A Nel,31,18,3.0,1.0,10.333333333333334,31.0,18.0,1977-07-15,Right_Hand,Right-arm fast-medium,South Africa
A Roy,14,12,2.0,1.0,7.0,14.0,12.0,,Left_Hand,Slow left-arm orthodox,
A Singh,742,533,88.83333333333333,31.0,8.352720450281426,23.93548387096774,17.193548387096776,1981-06-21,Right_Hand,Right-arm medium-fast,India
A Symonds,674,527,87.83333333333333,20.0,7.673624288425048,33.7,26.35,1975-06-09,Right_Hand,Right-arm offbreak,Australia
A Uniyal,66,36,6.0,2.0,11.0,33.0,18.0,1981-11-21,Right_Hand,Left-arm medium,India
A Zampa,278,221,36.833333333333336,19.0,7.547511312217194,14.631578947368421,11.631578947368421,1992-03-31,Right_Hand,Legbreak googly,Australia
AA Chavan,326,248,41.333333333333336,8.0,7.887096774193548,40.75,31.0,1985-10-28,Right_Hand,Slow left-arm orthodox,India
AA Jhunjhunwala,129,85,14.166666666666666,1.0,9.105882352941176,129.0,85.0,1982-12-01,Right_Hand,Right-arm offbreak,India
AA Kazi,21,12,2.0,0.0,10.5,,,1989-09-29,Right_Hand,Slow left-arm orthodox,India
AA Noffke,40,24,4.0,1.0,10.0,40.0,24.0,1977-04-30,Right_Hand,Right-arm fast-medium,Australia
AB Agarkar,1151,782,130.33333333333334,29.0,8.831202046035806,39.689655172413794,26.96551724137931,1977-12-04,Right_Hand,Right-arm fast,India
AB Dinda,2073,1516,252.66666666666666,69.0,8.20448548812665,30.043478260869566,21.971014492753625,1984-03-25,Right_Hand,Right-arm medium-fast,India
AB McDonald,261,186,31.0,11.0,8.419354838709678,23.727272727272727,16.90909090909091,1981-06-05,Right_Hand,Right-arm fast-medium,Australia
AC Gilchrist,0,1,0.16666666666666666,1.0,0.0,0.0,1.0,1971-11-14,Left_Hand,Right-arm offbreak,Australia
AC Thomas,406,315,52.5,14.0,7.733333333333333,29.0,22.5,1977-02-09,Right_Hand,Right-arm fast-medium,England
AC Voges,76,54,9.0,0.0,8.444444444444445,,,1979-10-04,Right_Hand,Slow left-arm orthodox,Australia
AD Mascarenhas,356,308,51.333333333333336,19.0,6.9350649350649345,18.736842105263158,16.210526315789473,1977-10-30,Right_Hand,Right-arm fast-medium,England
AD Mathews,1079,791,131.83333333333334,27.0,8.18457648546144,39.96296296296296,29.296296296296298,1987-06-02,Right_Hand,Right-arm fast-medium,Sri Lanka
AD Russell,1557,1039,173.16666666666666,55.0,8.99133782483157,28.30909090909091,18.89090909090909,1988-04-29,Right_Hand,Right-arm fast,West Indies
AF Milne,177,108,18.0,4.0,9.833333333333334,44.25,27.0,1992-04-13,Right_Hand,Right-arm fast,New Zealand
AG Murtaza,313,264,44.0,9.0,7.113636363636363,34.77777777777778,29.333333333333332,1990-01-01,Left_Hand,Slow left-arm orthodox,India
AJ Finch,67,43,7.166666666666667,1.0,9.348837209302324,67.0,43.0,1986-11-17,Right_Hand,Slow left-arm orthodox,Australia
AJ Tye,855,594,99.0,39.0,8.636363636363637,21.923076923076923,15.23076923076923,,Right_hand,Right-arm fast-medium,
AL Menaria,144,110,18.333333333333332,3.0,7.854545454545455,48.0,36.666666666666664,1990-10-29,Left_Hand,Slow left-arm orthodox,India
AM Nayar,322,229,38.166666666666664,9.0,8.436681222707424,35.77777777777778,25.444444444444443,1983-10-08,Left_Hand,Right-arm medium,India
AM Rahane,5,6,1.0,1.0,5.0,5.0,6.0,1988-06-06,Right_Hand,Right-arm medium,India
AM Salvi,200,150,25.0,7.0,8.0,28.571428571428573,21.428571428571427,1981-10-20,Right_Hand,Right-arm medium,India
AN Ahmed,498,344,57.333333333333336,12.0,8.686046511627907,41.5,28.666666666666668,1988-11-05,Right_Hand,Right-arm medium-fast,India
AP Dole,112,66,11.0,5.0,10.181818181818182,22.4,13.2,1987-10-09,Right_Hand,Right-arm medium-fast,India
AR Patel,2139,1713,285.5,71.0,7.492119089316987,30.12676056338028,24.12676056338028,1994-01-20,Left_Hand,Slow left-arm orthodox,India
AS Rajpoot,642,427,71.16666666666667,22.0,9.021077283372366,29.181818181818183,19.40909090909091,1993-12-04,Right_Hand,Right-arm medium,India
AS Raut,44,30,5.0,0.0,8.8,,,1987-03-03,Right_Hand,Legbreak googly,India
AUK Pathan,63,39,6.5,0.0,9.692307692307692,,,1984-06-17,Right_Hand,Right-arm medium,India
Abdur Razzak,29,12,2.0,0.0,14.5,,,1982-06-15,Left_Hand,Slow left-arm orthodox,Bangladesh
Anand Rajan,201,149,24.833333333333332,8.0,8.093959731543624,25.125,18.625,1987-04-17,Right_Hand,Right-arm medium,India
Ankit Sharma,472,379,63.166666666666664,13.0,7.472295514511874,36.30769230769231,29.153846153846153,1991-04-20,Left_Hand,Slow left-arm orthodox,India
Ankit Soni,144,109,18.166666666666668,2.0,7.9266055045871555,72.0,54.5,,Right_hand,Legbreak,
Anureet Singh,623,412,68.66666666666667,18.0,9.072815533980583,34.611111111111114,22.88888888888889,1988-03-02,Right_Hand,Right-arm medium,India
Avesh Khan,262,156,26.0,5.0,10.076923076923077,52.4,31.2,,Right_Hand,Right-arm fast-medium,
Azhar Mahmood,700,537,89.5,29.0,7.82122905027933,24.137931034482758,18.517241379310345,1975-02-28,Right_Hand,Right-arm fast-medium,Pakistan
B Akhil,242,188,31.333333333333332,6.0,7.723404255319149,40.333333333333336,31.333333333333332,1977-10-07,Right_Hand,Right-arm medium-fast,India
B Chipli,20,6,1.0,0.0,20.0,,,1983-01-27,Right_Hand,Right-arm medium,India
B Geeves,91,48,8.0,1.0,11.375,91.0,48.0,1982-06-13,Right_Hand,Right-arm fast-medium,Australia
B Kumar,3185,2612,435.3333333333333,133.0,7.316232771822358,23.94736842105263,19.639097744360903,1990-02-05,Right_Hand,Right-arm medium,India
B Laughlin,291,168,28.0,10.0,10.392857142857142,29.1,16.8,1982-10-03,Right_Hand,Right-arm fast-medium,Australia
B Lee,1095,875,145.83333333333334,25.0,7.508571428571428,43.8,35.0,1976-11-08,Right_Hand,Right-arm fast,Australia
B Stanlake,204,144,24.0,7.0,8.5,29.142857142857142,20.571428571428573,,Right_Hand,Right-arm fast,
BA Bhatt,397,296,49.333333333333336,12.0,8.047297297297296,33.083333333333336,24.666666666666668,1990-05-13,Left_Hand,Slow left-arm orthodox,India
BA Stokes,841,587,97.83333333333333,26.0,8.59625212947189,32.34615384615385,22.576923076923077,,Left_Hand,Right-arm fast-medium,
BAW Mendis,303,244,40.666666666666664,8.0,7.450819672131148,37.875,30.5,1985-03-11,Right_Hand,Right-arm offbreak,Sri Lanka
BB Sran,776,483,80.5,18.0,9.639751552795031,43.111111111111114,26.833333333333332,1992-12-10,Left_Hand,Left-arm medium,India
BCJ Cutting,433,281,46.833333333333336,10.0,9.245551601423488,43.3,28.1,1987-01-30,Right_Hand,Right-arm fast-medium,Australia
BE Hendricks,235,150,25.0,9.0,9.4,26.11111111111111,16.666666666666668,1990-06-08,Left_Hand,Left-arm fast-medium,South Africa
BJ Hodge,303,234,39.0,17.0,7.769230769230769,17.823529411764707,13.764705882352942,1974-12-29,Right_Hand,Right-arm offbreak,Australia
BJ Rohrer,12,6,1.0,0.0,12.0,,,1981-03-26,Left_Hand,Right-arm offbreak,Australia
BMAJ Mendis,36,30,5.0,1.0,7.2,36.0,30.0,1983-01-15,Left_Hand,Right-arm offbreak,Sri Lanka
BW Hilfenhaus,479,372,62.0,22.0,7.725806451612903,21.772727272727273,16.90909090909091,1983-03-15,Right_Hand,Right-arm fast,Australia
Basil Thampi,656,401,66.83333333333333,16.0,9.815461346633418,41.0,25.0625,,Right_hand,Right-arm fast,
Bipul Sharma,572,426,71.0,17.0,8.056338028169014,33.64705882352941,25.058823529411764,1983-09-28,Left_Hand,Slow left-arm orthodox,India
C Ganapathy,13,6,1.0,0.0,13.0,,,1981-06-10,Right_Hand,Right-arm medium,India
C Munro,15,12,2.0,0.0,7.5,,,1987-03-11,Left_Hand,Right-arm medium-fast,New Zealand
C Nanda,57,48,8.0,2.0,7.125,28.5,24.0,1979-03-29,Right_Hand,Legbreak,India
C de Grandhomme,334,216,36.0,6.0,9.277777777777779,55.666666666666664,36.0,,Right_hand,Legbreak,
CH Gayle,724,549,91.5,18.0,7.912568306010929,40.22222222222222,30.5,1979-09-21,Left_Hand,Right-arm offbreak,West Indies
CH Morris,1747,1290,215.0,70.0,8.125581395348837,24.957142857142856,18.428571428571427,1987-04-30,Right_Hand,Right-arm fast-medium,South Africa
CJ Anderson,525,297,49.5,11.0,10.606060606060606,47.72727272727273,27.0,1990-12-13,Left_Hand,Left-arm medium-fast,New Zealand
CJ Jordan,303,198,33.0,12.0,9.181818181818182,25.25,16.5,1988-10-04,Right_Hand,Right-arm fast-medium,England
CJ McKay,60,42,7.0,1.0,8.571428571428571,60.0,42.0,1983-02-20,Right_Hand,Right-arm fast-medium,Australia
CK Kapugedera,49,17,2.8333333333333335,0.0,17.294117647058822,,,1987-02-24,Right_Hand,Right-arm medium,Sri Lanka
CK Langeveldt,187,156,26.0,13.0,7.1923076923076925,14.384615384615385,12.0,1974-12-17,Right_Hand,Right-arm fast-medium,England
CL White,86,42,7.0,1.0,12.285714285714286,86.0,42.0,1983-08-18,Right_Hand,Legbreak googly,Australia
CR Brathwaite,387,254,42.333333333333336,13.0,9.141732283464567,29.76923076923077,19.53846153846154,1988-07-18,Right_Hand,Right-arm fast-medium,West Indies
CR Woakes,590,374,62.333333333333336,25.0,9.46524064171123,23.6,14.96,,Right_hand,Right-arm fast-medium,
CRD Fernando,298,234,39.0,17.0,7.641025641025641,17.529411764705884,13.764705882352942,1979-07-19,Right_Hand,Right-arm fast-medium,Sri Lanka
D Kalyankrishna,87,48,8.0,2.0,10.875,43.5,24.0,1983-12-16,Right_Hand,Right-arm medium-fast,India
D Salunkhe,78,47,7.833333333333333,1.0,9.957446808510639,78.0,47.0,1982-11-12,Right_Hand,Legbreak,India
D Short,23,18,3.0,1.0,7.666666666666667,23.0,18.0,,Left_Hand,Slow left-arm orthodox,
D Wiese,402,278,46.333333333333336,16.0,8.676258992805755,25.125,17.375,1985-05-18,Right_Hand,Right-arm medium-fast,South Africa
D Willey,97,60,10.0,2.0,9.7,48.5,30.0,,Right_Hand,Left-arm fast-medium,
D du Preez,56,42,7.0,4.0,8.0,14.0,10.5,1981-11-08,Right_Hand,Right-arm fast-medium,South Africa
DAJ Bracewell,32,24,4.0,3.0,8.0,10.666666666666666,8.0,1990-09-28,Right_Hand,Right-arm fast-medium,New Zealand
DB Ravi Teja,28,18,3.0,1.0,9.333333333333334,28.0,18.0,1987-09-05,Right_Hand,Legbreak googly,India
DE Bollinger,693,576,96.0,37.0,7.21875,18.72972972972973,15.567567567567568,1981-07-24,Left_Hand,Left-arm fast-medium,Australia
DJ Bravo,3662,2586,431.0,147.0,8.496519721577727,24.91156462585034,17.591836734693878,1983-10-07,Right_Hand,Right-arm medium-fast,West Indies
DJ Harris,26,18,3.0,0.0,8.666666666666666,,,1979-12-31,Right_Hand,Right-arm medium,Australia
DJ Hooda,315,224,37.333333333333336,6.0,8.4375,52.5,37.333333333333336,1995-04-19,Right_Hand,Right-arm offbreak,India
DJ Hussey,474,317,52.833333333333336,8.0,8.97160883280757,59.25,39.625,1977-07-15,Right_Hand,Right-arm offbreak,Australia
DJ Muthuswami,101,84,14.0,4.0,7.214285714285714,25.25,21.0,1981-03-09,Right_Hand,Right-arm medium,India
DJ Thornely,40,42,7.0,3.0,5.714285714285714,13.333333333333334,14.0,1978-10-01,Right_Hand,Right-arm medium,Australia
DJG Sammy,350,236,39.333333333333336,11.0,8.898305084745763,31.818181818181817,21.454545454545453,1983-12-20,Right_Hand,Right-arm medium-fast,West Indies
DL Chahar,914,691,115.16666666666667,33.0,7.936324167872648,27.696969696969695,20.939393939393938,1992-08-07,Right_Hand,Right-arm medium,India
DL Vettori,878,777,129.5,28.0,6.77992277992278,31.357142857142858,27.75,1979-01-27,Left_Hand,Slow left-arm orthodox,New Zealand
DNT Zoysa,99,66,11.0,2.0,9.0,49.5,33.0,1978-05-13,Left_Hand,Left-arm fast-medium,Sri Lanka
DP Nannes,785,646,107.66666666666667,28.0,7.291021671826625,28.035714285714285,23.071428571428573,1976-05-16,Right_Hand,Left-arm fast,Australia
DP Vijaykumar,199,152,25.333333333333332,4.0,7.855263157894737,49.75,38.0,1986-10-20,Right_Hand,Right-arm medium,India
DR Smith,810,539,89.83333333333333,26.0,9.01669758812616,31.153846153846153,20.73076923076923,1983-04-12,Right_Hand,Right-arm medium,West Indies
DS Kulkarni,2422,1745,290.8333333333333,86.0,8.327793696275073,28.162790697674417,20.290697674418606,1988-12-10,Right_Hand,Right-arm medium,India
DT Christian,1042,783,130.5,34.0,7.984674329501916,30.647058823529413,23.029411764705884,1983-05-04,Right_Hand,Right-arm fast-medium,Australia
DW Steyn,2395,2112,352.0,96.0,6.8039772727272725,24.947916666666668,22.0,1983-06-27,Right_Hand,Right-arm fast,South Africa
F du Plessis,16,6,1.0,0.0,16.0,,,1984-07-13,Right_Hand,Legbreak,South Africa
FH Edwards,154,140,23.333333333333332,5.0,6.6000000000000005,30.8,28.0,1982-02-06,Right_Hand,Right-arm fast,West Indies
FY Fazal,20,12,2.0,0.0,10.0,,,1985-09-07,Left_Hand,Right-arm medium,India
GB Hogg,570,458,76.33333333333333,23.0,7.467248908296944,24.782608695652176,19.91304347826087,1971-02-06,Left_Hand,Slow left-arm chinaman,Australia
GD McGrath,357,324,54.0,12.0,6.611111111111111,29.75,27.0,1970-02-09,Right_Hand,Right-arm fast-medium,Australia
GH Vihari,38,36,6.0,1.0,6.333333333333333,38.0,36.0,1993-10-13,Right_Hand,Right-arm offbreak,India
GJ Maxwell,613,420,70.0,16.0,8.757142857142858,38.3125,26.25,1988-10-14,Right_Hand,Right-arm offbreak,Australia
GR Napier,27,24,4.0,1.0,6.75,27.0,24.0,1980-01-06,Right_Hand,Right-arm medium,England
GS Sandhu,82,48,8.0,1.0,10.25,82.0,48.0,1993-06-14,Left_Hand,Right-arm fast-medium,Australia
Gagandeep Singh,141,84,14.0,3.0,10.071428571428571,47.0,28.0,1981-10-03,Right_Hand,Right-arm medium-fast,India
Gurkeerat Singh,97,78,13.0,5.0,7.461538461538462,19.4,15.6,1990-06-29,Right_Hand,Right-arm offbreak,India
H Brar,48,30,5.0,0.0,9.6,,,,Left_Hand,Slow left-arm orthodox,
H Gurney,246,162,27.0,7.0,9.11111111111111,35.142857142857146,23.142857142857142,,Right_Hand,Right-arm fast-medium,
H Vihari,9,6,1.0,0.0,9.0,,,,Right_hand,Right-arm offbreak,
H Viljoen,241,138,23.0,7.0,10.478260869565217,34.42857142857143,19.714285714285715,,Right_hand,Right-arm fast,
HH Pandya,1358,869,144.83333333333334,42.0,9.376294591484465,32.333333333333336,20.69047619047619,1993-10-11,Right_Hand,Right-arm medium-fast,India
HV Patel,1232,836,139.33333333333334,43.0,8.842105263157894,28.651162790697676,19.441860465116278,1990-11-23,Right_Hand,Right-arm medium,India
Harbhajan Singh,3979,3374,562.3333333333334,150.0,7.075874333135744,26.526666666666667,22.493333333333332,1980-07-03,Right_Hand,Right-arm offbreak,India
Harmeet Singh,697,525,87.5,26.0,7.965714285714285,26.807692307692307,20.192307692307693,1992-09-07,Left_Hand,Slow left-arm orthodox,India
Harmeet Singh (2),34,24,4.0,1.0,8.5,34.0,24.0,,Right_Hand,Right-arm fast-medium,
I Malhotra,23,6,1.0,0.0,23.0,,,1984-05-23,Right_Hand,Right-arm medium-fast,India
I Sharma,2605,1908,318.0,71.0,8.19182389937107,36.690140845070424,26.87323943661972,1988-09-02,Right_Hand,Right-arm fast-medium,India
I Sodhi,205,182,30.333333333333332,9.0,6.758241758241758,22.77777777777778,20.22222222222222,,Right_hand,Legbreak googly,
IC Pandey,591,462,77.0,18.0,7.675324675324675,32.833333333333336,25.666666666666668,1989-08-15,Right_Hand,Right-arm medium,India
IK Pathan,2649,2043,340.5,80.0,7.779735682819383,33.1125,25.5375,1984-10-27,Left_Hand,Left-arm medium-fast,India
Imran Tahir,1632,1227,204.5,79.0,7.980440097799511,20.658227848101266,15.531645569620252,1979-03-27,Right_Hand,Legbreak googly,India
Iqbal Abdulla,1109,920,153.33333333333334,40.0,7.232608695652173,27.725,23.0,1989-12-02,Left_Hand,Slow left-arm orthodox,India
J Archer,660,493,82.16666666666667,26.0,8.032454361054766,25.384615384615383,18.96153846153846,,Right_hand,Right-arm fast,
J Behrendorff,171,114,19.0,5.0,9.0,34.2,22.8,,Right_Hand,Left-arm fast-medium,
J Botha,800,694,115.66666666666667,25.0,6.916426512968299,32.0,27.76,1982-05-02,Right_Hand,Right-arm offbreak,South Africa
J Dala,35,18,3.0,0.0,11.666666666666666,,,,,Right-arm Medium,
J Searles,92,42,7.0,2.0,13.142857142857142,46.0,21.0,,Right_hand,Right-arm fast-medium,
J Suchith,396,270,45.0,12.0,8.8,33.0,22.5,1994-01-16,Left_Hand,Slow left-arm orthodox,India
J Syed Mohammad,283,192,32.0,8.0,8.84375,35.375,24.0,1983-06-03,Left_Hand,Slow left-arm orthodox,India
J Theron,302,221,36.833333333333336,11.0,8.199095022624434,27.454545454545453,20.09090909090909,1985-07-24,Right_Hand,Right-arm medium-fast,South Africa
J Yadav,247,222,37.0,5.0,6.675675675675675,49.4,44.4,1990-01-22,Right_Hand,Right-arm offbreak,India
JA Morkel,2359,1723,287.1666666666667,85.0,8.214741729541498,27.75294117647059,20.270588235294117,1981-06-10,Left_Hand,Right-arm medium-fast,South Africa
JD Ryder,303,236,39.333333333333336,8.0,7.703389830508474,37.875,29.5,1984-08-06,Left_Hand,Right-arm medium,New Zealand
JD Unadkat,2218,1506,251.0,77.0,8.836653386454183,28.805194805194805,19.558441558441558,1991-10-18,Right_Hand,Left-arm medium,India
JDP Oram,349,237,39.5,9.0,8.835443037974683,38.77777777777778,26.333333333333332,1978-07-28,Left_Hand,Right-arm fast-medium,New Zealand
JDS Neesham,91,54,9.0,1.0,10.11111111111111,91.0,54.0,1990-09-17,Left_Hand,Right-arm medium,New Zealand
JE Taylor,157,117,19.5,6.0,8.051282051282051,26.166666666666668,19.5,1984-06-22,Right_Hand,Right-arm fast,New Zealand
JEC Franklin,220,151,25.166666666666668,9.0,8.741721854304636,24.444444444444443,16.77777777777778,1980-11-07,Left_Hand,Left-arm medium,New Zealand
JH Kallis,2293,1742,290.3333333333333,65.0,7.897818599311137,35.276923076923076,26.8,1975-10-16,Right_Hand,Right-arm fast-medium,South Africa
JJ Bumrah,2244,1741,290.1666666666667,82.0,7.733486502010338,27.365853658536587,21.23170731707317,1993-12-06,Right_Hand,Right-arm medium,India
JJ van der Wath,129,72,12.0,3.0,10.75,43.0,24.0,1978-01-10,Right_Hand,Right-arm medium-fast,South Africa
JM Kemp,54,44,7.333333333333333,3.0,7.363636363636364,18.0,14.666666666666666,1977-10-02,Right_Hand,Right-arm fast-medium,South Africa
JO Holder,306,216,36.0,5.0,8.5,61.2,43.2,1991-11-05,Right_Hand,Right-arm medium-fast,West Indies
JP Duminy,834,678,113.0,23.0,7.380530973451328,36.26086956521739,29.47826086956522,1984-04-14,Left_Hand,Right-arm offbreak,South Africa
JP Faulkner,1799,1238,206.33333333333334,61.0,8.718901453957997,29.491803278688526,20.295081967213115,1990-04-29,Right_Hand,Left-arm fast-medium,Australia
JR Hopes,548,360,60.0,14.0,9.133333333333333,39.142857142857146,25.714285714285715,1978-10-24,Right_Hand,Right-arm medium,Australia
JW Hastings,66,58,9.666666666666666,3.0,6.8275862068965525,22.0,19.333333333333332,1985-11-04,Right_Hand,Right-arm fast-medium,Australia
Jaskaran Singh,171,102,17.0,6.0,10.058823529411764,28.5,17.0,1989-09-04,Right_Hand,Right-arm medium,India
Joginder Sharma,419,256,42.666666666666664,12.0,9.8203125,34.916666666666664,21.333333333333332,1983-10-23,Right_Hand,Right-arm fast-medium,India
K Ahmed,345,227,37.833333333333336,19.0,9.118942731277533,18.157894736842106,11.947368421052632,,Right_hand,Left-arm fast-medium,
K Goel,93,66,11.0,0.0,8.454545454545455,,,1986-12-24,Left_Hand,Right-arm offbreak,India
K Gowtham,498,362,60.333333333333336,11.0,8.25414364640884,45.27272727272727,32.90909090909091,,Right_hand,Right-arm offbreak,
K Khejroliya,163,95,15.833333333333334,3.0,10.294736842105262,54.333333333333336,31.666666666666668,,Right_Hand,Left-arm fast-medium,
K Paul,259,164,27.333333333333332,9.0,9.475609756097562,28.77777777777778,18.22222222222222,,Right_hand,Right-arm fast-medium,
K Rabada,582,415,69.16666666666667,31.0,8.4144578313253,18.774193548387096,13.387096774193548,,Left_Hand,Right-arm fast,
K Santokie,90,48,8.0,3.0,11.25,30.0,16.0,1984-12-20,Left_Hand,Left-arm medium,West Indies
K Upadhyay,81,54,9.0,0.0,9.0,,,1986-06-18,Right_Hand,Right-arm medium,India
KA Pollard,1770,1199,199.83333333333334,56.0,8.857381150959132,31.607142857142858,21.410714285714285,1987-05-12,Right_Hand,Right-arm medium-fast,West Indies
KAJ Roach,80,48,8.0,0.0,10.0,,,1988-06-30,Right_Hand,Right-arm fast,West Indies
KC Cariappa,349,216,36.0,8.0,9.694444444444445,43.625,27.0,1994-04-13,Right_Hand,Legbreak,India
KH Pandya,1144,945,157.5,39.0,7.2634920634920634,29.333333333333332,24.23076923076923,1991-03-24,Left_Hand,Slow left-arm orthodox,India
KJ Abbott,177,96,16.0,2.0,11.0625,88.5,48.0,1987-06-18,Right_Hand,Right-arm fast-medium,South Africa
KK Cooper,757,576,96.0,33.0,7.885416666666667,22.939393939393938,17.454545454545453,1989-02-16,Right_Hand,Right-arm medium,West Indies
KM Asif,77,36,6.0,3.0,12.833333333333334,25.666666666666668,12.0,,Right_Hand,Right-arm medium,
KMDN Kulasekara,120,102,17.0,5.0,7.0588235294117645,24.0,20.4,1982-07-22,Right_Hand,Right-arm fast-medium,Sri Lanka
KP Appanna,286,216,36.0,9.0,7.944444444444445,31.77777777777778,24.0,1988-12-20,Right_Hand,Slow left-arm orthodox,India
KP Pietersen,215,174,29.0,7.0,7.413793103448276,30.714285714285715,24.857142857142858,1980-06-27,Right_Hand,Right-arm offbreak,South Africa
KS Williamson,7,6,1.0,0.0,7.0,,,1990-08-08,Right_Hand,Right-arm offbreak,New Zealand
KV Sharma,1447,1108,184.66666666666666,54.0,7.835740072202166,26.796296296296298,20.51851851851852,1987-10-23,Left_Hand,Legbreak googly,India
KW Richardson,444,317,52.833333333333336,18.0,8.40378548895899,24.666666666666668,17.61111111111111,1991-02-12,Right_Hand,Right-arm fast-medium,Australia
Kamran Khan,239,166,27.666666666666668,10.0,8.638554216867469,23.9,16.6,1991-03-10,Left_Hand,Left-arm medium-fast,India
Karanveer Singh,321,204,34.0,12.0,9.441176470588236,26.75,17.0,1987-11-08,Right_Hand,Legbreak googly,India
Kuldeep Yadav,1161,824,137.33333333333334,39.0,8.45388349514563,29.76923076923077,21.128205128205128,1994-12-14,Left_Hand,Slow left-arm chinaman,India
L Ablish,75,42,7.0,3.0,10.714285714285714,25.0,14.0,1982-12-03,Right_Hand,Right-arm medium-fast,India
L Balaji,2028,1512,252.0,76.0,8.047619047619047,26.68421052631579,19.894736842105264,1981-09-27,Right_Hand,Right-arm medium-fast,India
L Ferguson,190,102,17.0,2.0,11.176470588235293,95.0,51.0,,Right_Hand,Right-arm fast,
L Livingstone,13,6,1.0,0.0,13.0,,,,Right_hand,Right-arm offbreak,
L Ngidi,169,156,26.0,11.0,6.5,15.363636363636363,14.181818181818182,,Right_Hand,Slow left-arm orthodox,
L Plunkett,232,150,25.0,4.0,9.28,58.0,37.5,,Right_hand,Right-arm fast,
LA Carseldine,6,6,1.0,1.0,6.0,6.0,6.0,1975-11-17,Left_Hand,Legbreak,Australia
LH Ferguson,93,78,13.0,3.0,7.153846153846154,31.0,26.0,,Right_Hand,Right-arm fast-medium,
LJ Wright,124,71,11.833333333333334,2.0,10.47887323943662,62.0,35.5,1985-03-07,Right_Hand,Right-arm medium-fast,England
LMP Simmons,34,18,3.0,1.0,11.333333333333334,34.0,18.0,1985-01-25,Right_Hand,Right-arm medium-fast,West Indies
LPC Silva,21,6,1.0,0.0,21.0,,,1979-12-14,Right_Hand,Legbreak,Sri Lanka
LR Shukla,447,314,52.333333333333336,15.0,8.54140127388535,29.8,20.933333333333334,1981-05-06,Right_Hand,Right-arm medium,India
