bowler,runs_conceded,legal_balls,overs,wickets,economy,bowling_avg,bowling_sr,dob,batting_hand,bowling_skill,country
LRPL Taylor,24,12,2.0,0.0,12.0,,,1984-03-08,Right_Hand,Right-arm offbreak,New Zealand
M Ali,271,230,38.333333333333336,9.0,7.069565217391304,30.11111111111111,25.555555555555557,,Left_Hand,Right-arm offbreak,
M Ashwin,563,417,69.5,15.0,8.100719424460431,37.53333333333333,27.8,1990-09-08,Right_Hand,Legbreak googly,India
M Kartik,1388,1149,191.5,31.0,7.248041775456919,44.774193548387096,37.064516129032256,1976-09-11,Left_Hand,Slow left-arm orthodox,India
M Lomror,27,18,3.0,0.0,9.0,,,,Left_Hand,Slow left-arm orthodox,
M Manhas,42,42,7.0,0.0,6.0,,,1979-10-12,Right_Hand,Right-arm offbreak,India
M Markande,440,300,50.0,16.0,8.8,27.5,18.75,,Right_hand,Legbreak googly,
M Morkel,2089,1629,271.5,77.0,7.694290976058932,27.12987012987013,21.155844155844157,1984-10-06,Left_Hand,Right-arm fast,South Africa
M Muralitharan,1706,1528,254.66666666666666,64.0,6.698952879581152,26.65625,23.875,1972-04-17,Right_Hand,Right-arm offbreak,Sri Lanka
M Ntini,242,210,35.0,7.0,6.914285714285715,34.57142857142857,30.0,1977-07-06,Right_Hand,Right-arm fast,South Africa
M Santner,105,84,14.0,4.0,7.5,26.25,21.0,,Left_Hand,Slow left-arm orthodox,
M Ur Rahman,508,362,60.333333333333336,17.0,8.41988950276243,29.88235294117647,21.294117647058822,,Right_hand,Right-arm offbreak,
M Vijay,49,36,6.0,0.0,8.166666666666666,,,1984-04-01,Right_Hand,Right-arm offbreak,India
M Wood,51,24,4.0,0.0,12.75,,,,Right_hand,Right-arm fast,
M de Lange,169,108,18.0,5.0,9.38888888888889,33.8,21.6,1990-10-13,Right_Hand,Right-arm fast,South Africa
MA Khote,51,30,5.0,2.0,10.2,25.5,15.0,1980-04-22,Right_Hand,Right-arm medium,India
MA Starc,693,580,96.66666666666667,34.0,7.168965517241379,20.38235294117647,17.058823529411764,1990-01-30,Left_Hand,Left-arm fast,Australia
MB Parmar,33,18,3.0,0.0,11.0,,,1988-04-12,Right_Hand,Right-arm offbreak,India
MC Henriques,1244,890,148.33333333333334,38.0,8.386516853932584,32.73684210526316,23.42105263157895,1987-02-01,Right_Hand,Right-arm fast-medium,Australia
MF Maharoof,520,420,70.0,27.0,7.428571428571429,19.25925925925926,15.555555555555555,1984-09-07,Right_Hand,Right-arm fast-medium,India
MG Johnson,1717,1235,205.83333333333334,62.0,8.3417004048583,27.693548387096776,19.919354838709676,1981-11-02,Left_Hand,Left-arm fast,Australia
MG Neser,62,24,4.0,0.0,15.5,,,1990-03-29,Right_Hand,Right-arm medium,Australia
MJ Clarke,67,66,11.0,2.0,6.090909090909091,33.5,33.0,1981-04-02,Right_Hand,Slow left-arm orthodox,Australia
MJ Henry,71,30,5.0,1.0,14.2,71.0,30.0,,Right_Hand,Right-arm fast,
MJ McClenaghan,1833,1274,212.33333333333334,71.0,8.63265306122449,25.816901408450704,17.943661971830984,1986-06-11,Left_Hand,Left-arm fast-medium,New Zealand
MK Tiwary,86,42,7.0,1.0,12.285714285714286,86.0,42.0,1985-11-14,Right_Hand,Legbreak googly,India
MM Patel,1698,1355,225.83333333333334,74.0,7.518819188191881,22.945945945945947,18.31081081081081,1983-07-12,Right_Hand,Right-arm medium-fast,India
MM Sharma,2439,1730,288.3333333333333,91.0,8.458959537572255,26.802197802197803,19.01098901098901,1988-09-18,Right_Hand,Right-arm medium,India
MN Samuels,284,214,35.666666666666664,9.0,7.962616822429907,31.555555555555557,23.77777777777778,1981-02-05,Right_Hand,Right-arm offbreak,West Indies
MP Stoinis,575,367,61.166666666666664,15.0,9.400544959128066,38.333333333333336,24.466666666666665,1989-08-16,Right_Hand,Right-arm medium,Australia
MR Marsh,414,315,52.5,20.0,7.885714285714286,20.7,15.75,1991-10-20,Right_Hand,Right-arm medium,Australia
MS Gony,1287,888,148.0,37.0,8.695945945945946,34.78378378378378,24.0,1984-01-04,Right_Hand,Right-arm medium,India
Mandeep Singh,26,12,2.0,0.0,13.0,,,1991-12-18,Right_Hand,Right-arm medium,India
Mashrafe Mortaza,58,24,4.0,0.0,14.5,,,1983-10-05,Right_Hand,Right-arm fast-medium,Bangladesh
Mohammad Asif,296,192,32.0,8.0,9.25,37.0,24.0,1982-12-20,Left_Hand,Right-arm fast-medium,Pakistan
Mohammad Hafeez,68,60,10.0,2.0,6.8,34.0,30.0,1980-10-17,Right_Hand,Right-arm offbreak,Pakistan
Mohammad Nabi,306,271,45.166666666666664,11.0,6.774907749077491,27.818181818181817,24.636363636363637,,Right_hand,Right-arm offbreak,
Mohammed Shami,1565,1032,172.0,40.0,9.098837209302326,39.125,25.8,1990-09-03,Right_Hand,Right-arm fast-medium,India
Mohammed Siraj,891,553,92.16666666666667,28.0,9.667269439421338,31.821428571428573,19.75,,Right_hand,Right-arm fast,
Mustafizur Rahman,689,547,91.16666666666667,24.0,7.557586837294332,28.708333333333332,22.791666666666668,1995-09-06,Left_Hand,Left-arm fast-medium,Bangladesh
N Rana,123,91,15.166666666666666,7.0,8.10989010989011,17.571428571428573,13.0,1993-12-27,Left_Hand,Right-arm offbreak,India
N Saini,421,289,48.166666666666664,11.0,8.740484429065745,38.27272727272727,26.272727272727273,1988-10-28,Right_Hand,Right-arm fast,India
NB Singh,15,24,4.0,1.0,3.75,15.0,24.0,,Right_Hand,Right-arm fast,
ND Doshi,79,56,9.333333333333334,2.0,8.464285714285714,39.5,28.0,1978-10-06,Right_Hand,Slow left-arm orthodox,India
NJ Rimmington,19,18,3.0,0.0,6.333333333333333,,,1982-11-11,Right_Hand,Right-arm fast-medium,Australia
NL McCullum,34,30,5.0,0.0,6.8,,,1980-09-01,Right_Hand,Right-arm offbreak,New Zealand
NLTC Perera,1016,698,116.33333333333333,31.0,8.73352435530086,32.774193548387096,22.516129032258064,1989-04-03,Left_Hand,Right-arm medium-fast,Sri Lanka
NM Coulter-Nile,719,563,93.83333333333333,36.0,7.662522202486679,19.97222222222222,15.63888888888889,1987-10-11,Right_Hand,Right-arm fast,Australia
O Thomas,88,60,10.0,5.0,8.8,17.6,12.0,,Right_Hand,Right-arm fast,
P Amarnath,236,132,22.0,7.0,10.727272727272727,33.714285714285715,18.857142857142858,1982-06-01,Right_Hand,Right-arm medium,India
P Awana,1029,747,124.5,39.0,8.265060240963855,26.384615384615383,19.153846153846153,1986-07-19,Right_Hand,Right-arm medium,India
P Krishna,677,416,69.33333333333333,14.0,9.764423076923078,48.357142857142854,29.714285714285715,,Right_hand,Right-arm fast,
P Kumar,3251,2524,420.6666666666667,90.0,7.728209191759112,36.12222222222222,28.044444444444444,1986-10-02,Right_Hand,Right-arm medium,India
P Negi,944,717,119.5,34.0,7.899581589958159,27.764705882352942,21.08823529411765,1993-01-06,Left_Hand,Slow left-arm orthodox,India
P Parameswaran,224,154,25.666666666666668,9.0,8.727272727272727,24.88888888888889,17.11111111111111,1985-05-30,Right_Hand,Left-arm medium,India
P Prasanth,18,6,1.0,0.0,18.0,,,1985-05-22,Left_Hand,Slow left-arm orthodox,India
P R Barman,56,24,4.0,0.0,14.0,,,,Right_hand,Legbreak,
P Raj,60,30,5.0,1.0,12.0,60.0,30.0,,Right_Hand,Left-arm medium,
P Sahu,146,105,17.5,3.0,8.342857142857143,48.666666666666664,35.0,1985-08-21,Right_Hand,Legbreak googly,India
P Suyal,151,96,16.0,2.0,9.4375,75.5,48.0,1989-10-15,Right_Hand,Left-arm medium,India
PC Valthaty,205,151,25.166666666666668,7.0,8.14569536423841,29.285714285714285,21.571428571428573,1983-12-07,Right_Hand,Right-arm medium,India
PD Collingwood,101,89,14.833333333333334,5.0,6.808988764044943,20.2,17.8,1976-05-26,Right_Hand,Right-arm medium,England
PJ Cummins,499,361,60.166666666666664,17.0,8.293628808864266,29.352941176470587,21.235294117647058,1993-05-08,Right_Hand,Right-arm fast,Australia
PJ Sangwan,1176,802,133.66666666666666,35.0,8.798004987531172,33.6,22.914285714285715,1990-11-05,Right_Hand,Left-arm medium,India
PM Sarvesh Kumar,42,30,5.0,1.0,8.4,42.0,30.0,1989-04-26,Right_Hand,Right-arm medium,India
PP Chawla,4086,3125,520.8333333333334,149.0,7.84512,27.42281879194631,20.973154362416107,1988-12-24,Left_Hand,Legbreak,India
PP Ojha,2332,1899,316.5,89.0,7.368088467614534,26.202247191011235,21.337078651685392,1986-09-05,Left_Hand,Slow left-arm orthodox,India
PV Tambe,853,660,110.0,28.0,7.754545454545455,30.464285714285715,23.571428571428573,1971-10-08,Right_Hand,Legbreak,India
Pankaj Singh,468,300,50.0,11.0,9.36,42.54545454545455,27.272727272727273,1985-05-06,Right_Hand,Right-arm medium-fast,India
Parvez Rasool,271,198,33.0,4.0,8.212121212121213,67.75,49.5,1989-02-13,Right_Hand,Right-arm offbreak,India
R Ashwin,3337,2925,487.5,125.0,6.845128205128205,26.696,23.4,1986-09-17,Right_Hand,Right-arm offbreak,India
R Bhatia,2020,1636,272.6666666666667,71.0,7.408312958435207,28.450704225352112,23.04225352112676,1979-10-22,Right_Hand,Right-arm medium-fast,India
R Dhawan,640,488,81.33333333333333,18.0,7.868852459016394,35.55555555555556,27.11111111111111,1990-02-19,Right_Hand,Right-arm medium-fast,India
R McLaren,542,354,59.0,12.0,9.186440677966102,45.166666666666664,29.5,1983-02-09,Left_Hand,Right-arm medium-fast,South Africa
R Ninan,65,36,6.0,3.0,10.833333333333334,21.666666666666668,12.0,1985-11-19,Right_Hand,Right-arm offbreak,India
R Parag,121,84,14.0,2.0,8.642857142857142,60.5,42.0,,Right_hand,Legbreak,
R Rampaul,309,268,44.666666666666664,16.0,6.917910447761194,19.3125,16.75,1984-10-15,Left_Hand,Right-arm fast-medium,West Indies
R Salam,45,24,4.0,0.0,11.25,,,,Right_Hand,Right-arm Fast,
R Sathish,232,139,23.166666666666668,3.0,10.014388489208633,77.33333333333333,46.333333333333336,1981-01-14,Right_Hand,Right-arm medium,India
R Sharma,1086,928,154.66666666666666,40.0,7.0215517241379315,27.15,23.2,1987-04-30,Right_Hand,Right-arm offbreak,India
R Shukla,208,120,20.0,5.0,10.4,41.6,24.0,1990-08-28,Right_Hand,Right-arm medium,India
R Tewatia,358,296,49.333333333333336,13.0,7.256756756756756,27.53846153846154,22.76923076923077,1993-05-20,Left_Hand,Legbreak,India
R Vinay Kumar,2988,2127,354.5,105.0,8.428772919605077,28.457142857142856,20.257142857142856,1984-02-12,Right_Hand,Right-arm medium,India
RA Jadeja,3176,2498,416.3333333333333,108.0,7.628502802241794,29.40740740740741,23.12962962962963,1988-12-06,Left_Hand,Slow left-arm orthodox,India
RA Shaikh,11,6,1.0,0.0,11.0,,,1985-06-12,Left_Hand,Left-arm medium,India
RA Tripathi,12,6,1.0,0.0,12.0,,,,Right_hand,Right-arm medium,
RD Chahar,373,324,54.0,15.0,6.907407407407407,24.866666666666667,21.6,,Right_hand,Legbreak googly,
RE van der Merwe,498,443,73.83333333333333,21.0,6.744920993227991,23.714285714285715,21.095238095238095,1984-12-31,Right_Hand,Slow left-arm orthodox,South Africa
RG More,59,35,5.833333333333333,1.0,10.114285714285716,59.0,35.0,1992-02-02,Right_Hand,Right-arm medium,India
RG Sharma,440,332,55.333333333333336,15.0,7.951807228915662,29.333333333333332,22.133333333333333,1987-04-30,Right_Hand,Right-arm offbreak,India
RJ Harris,1047,832,138.66666666666666,45.0,7.55048076923077,23.266666666666666,18.488888888888887,1979-10-11,Right_Hand,Right-arm fast,Australia
RJ Peterson,70,48,8.0,3.0,8.75,23.333333333333332,16.0,1979-08-04,Left_Hand,Slow left-arm orthodox,South Africa
RN ten Doeschate,94,78,13.0,2.0,7.230769230769231,47.0,39.0,1980-06-30,Right_Hand,Right-arm medium-fast,Netherlands
RP Singh,2338,1775,295.8333333333333,90.0,7.903098591549297,25.977777777777778,19.72222222222222,1985-12-06,Right_Hand,Left-arm fast-medium,India
RR Bhatkal,35,12,2.0,0.0,17.5,,,1985-09-01,Right_Hand,Right-arm medium,India
RR Bose,24,12,2.0,0.0,12.0,,,1979-02-27,Right_Hand,Right-arm fast-medium,India
RR Powar,527,426,71.0,13.0,7.422535211267606,40.53846153846154,32.76923076923077,1978-05-20,Right_Hand,Right-arm offbreak,India
RR Raje,209,139,23.166666666666668,6.0,9.021582733812949,34.833333333333336,23.166666666666668,1986-09-03,Right_Hand,Right-arm fast-medium,India
RS Bopara,292,206,34.333333333333336,11.0,8.504854368932039,26.545454545454547,18.727272727272727,1985-05-04,Right_Hand,Right-arm medium,England
RS Gavaskar,8,6,1.0,0.0,8.0,,,1976-02-20,Left_Hand,Slow left-arm orthodox,India
RV Gomez,129,96,16.0,5.0,8.0625,25.8,19.2,1985-10-16,Right_Hand,Right-arm medium,India
RW Price,33,18,3.0,0.0,11.0,,,1976-06-12,Right_Hand,Slow left-arm orthodox,Zimbabwea
Rashid Khan,1229,1095,182.5,55.0,6.734246575342466,22.345454545454544,19.90909090909091,,Right_hand,Legbreak googly,
S Aravind,1039,760,126.66666666666667,45.0,8.202631578947368,23.08888888888889,16.88888888888889,1984-04-08,Left_Hand,Left-arm medium-fast,India
S Badree,319,258,43.0,11.0,7.4186046511627906,29.0,23.454545454545453,1981-03-09,Right_Hand,Legbreak,West Indies
S Curran,334,198,33.0,10.0,10.121212121212121,33.4,19.8,,Left_Hand,Left-arm medium-fast,
S Dhawan,66,48,8.0,4.0,8.25,16.5,12.0,1985-12-05,Left_Hand,Right-arm offbreak,India
S Dube,9,10,1.6666666666666667,0.0,5.3999999999999995,,,,Left_Hand,Right-arm fast-medium,
S Gopal,746,589,98.16666666666667,38.0,7.599320882852291,19.63157894736842,15.5,1993-09-04,Right_Hand,Legbreak,India
S Kaul,1410,981,163.5,49.0,8.623853211009175,28.775510204081634,20.020408163265305,1990-05-19,Right_Hand,Right-arm medium,India
S Kaushik,297,204,34.0,6.0,8.735294117647058,49.5,34.0,1995-09-07,Right_Hand,Slow left-arm chinaman,India
S Kuggeleijn,73,48,8.0,2.0,9.125,36.5,24.0,,Right_Hand,Right-arm fast,
S Ladda,224,138,23.0,5.0,9.73913043478261,44.8,27.6,1986-07-10,Right_Hand,Legbreak,India
S Lamichhane,298,210,35.0,13.0,8.514285714285714,22.923076923076923,16.153846153846153,,Right_hand,Legbreak googly,
S Mavi,285,168,28.0,5.0,10.178571428571429,57.0,33.6,,Right_hand,Right-arm fast-medium,
S Midhun,30,12,2.0,0.0,15.0,,,,,Legbreak,
S Nadeem,1574,1259,209.83333333333334,42.0,7.501191421763304,37.476190476190474,29.976190476190474,1989-08-12,Right_Hand,Slow left-arm orthodox,India
S Narwal,202,106,17.666666666666668,5.0,11.433962264150942,40.4,21.2,1982-04-16,Left_Hand,Right-arm medium,India
S Rana,18,16,2.6666666666666665,0.0,6.75,,,1984-09-18,Right_Hand,Right-arm medium-fast,India
S Randiv,223,174,29.0,6.0,7.689655172413793,37.166666666666664,29.0,1985-01-30,Right_Hand,Right-arm offbreak,Sri Lanka
S Rutherford,65,41,6.833333333333333,1.0,9.512195121951219,65.0,41.0,,Left_Hand,Right-arm fast-medium,
S Sharma,364,256,42.666666666666664,12.0,8.53125,30.333333333333332,21.333333333333332,,Right_Hand,Right-arm fast-medium,
S Sreesanth,1194,880,146.66666666666666,40.0,8.14090909090909,29.85,22.0,1983-02-06,Right_Hand,Right-arm fast-medium,India
S Sriram,49,18,3.0,0.0,16.333333333333332,,,1976-02-21,Left_Hand,Slow left-arm orthodox,India
S Tyagi,295,209,34.833333333333336,6.0,8.4688995215311,49.166666666666664,34.833333333333336,1987-09-17,Right_Hand,Right-arm medium,India
S Vidyut,22,12,2.0,1.0,11.0,22.0,12.0,1981-12-03,Left_Hand,Slow left-arm orthodox,India
S Warrier,87,72,12.0,2.0,7.25,43.5,36.0,,Right_Hand,Right-arm fast-medium,
SA Abbott,57,30,5.0,0.0,11.4,,,1992-02-29,Right_Hand,Right-arm fast-medium,New Zealand
SA Yadav,8,6,1.0,0.0,8.0,,,1990-09-14,Right_Hand,Right-arm offbreak,India
SB Bangar,219,150,25.0,4.0,8.76,54.75,37.5,1972-10-11,Right_Hand,Right-arm medium-fast,India
SB Jakati,1451,1085,180.83333333333334,47.0,8.023963133640553,30.872340425531913,23.085106382978722,1980-11-27,Left_Hand,Slow left-arm orthodox,India
SB Joshi,82,55,9.166666666666666,1.0,8.945454545454545,82.0,55.0,1970-06-06,Left_Hand,Slow left-arm orthodox,India
SB Styris,276,216,36.0,8.0,7.666666666666667,34.5,27.0,1975-07-10,Right_Hand,Right-arm medium,New Zealand
SB Wagh,137,102,17.0,5.0,8.058823529411764,27.4,20.4,1988-10-09,Left_Hand,Left-arm medium-fast,India
SC Ganguly,363,276,46.0,10.0,7.891304347826087,36.3,27.6,1972-07-08,Left_Hand,Right-arm medium,India
SD Chitnis,60,36,6.0,2.0,10.0,30.0,18.0,1987-05-06,Right_Hand,Right-arm offbreak,India
SE Bond,224,186,31.0,9.0,7.225806451612903,24.88888888888889,20.666666666666668,1975-06-07,Right_Hand,Right-arm fast,New Zealand
SJ Srivastava,441,282,47.0,14.0,9.382978723404255,31.5,20.142857142857142,1981-09-22,Right_Hand,Left-arm fast-medium,India
SK Raina,1118,908,151.33333333333334,25.0,7.387665198237885,44.72,36.32,1986-11-27,Left_Hand,Right-arm offbreak,India
SK Trivedi,1904,1506,251.0,65.0,7.585657370517929,29.29230769230769,23.16923076923077,1982-09-04,Right_Hand,Right-arm medium,India
SK Warne,1447,1194,199.0,57.0,7.271356783919598,25.385964912280702,20.94736842105263,1969-09-13,Right_Hand,Legbreak googly,Australia
SL Malinga,3390,2827,471.1666666666667,170.0,7.194906261054121,19.941176470588236,16.629411764705882,1983-08-28,Right_Hand,Right-arm fast,Sri Lanka
SM Boland,54,42,7.0,2.0,7.714285714285714,27.0,21.0,1989-04-11,Right_Hand,Right-arm fast-medium,Australia
SM Harwood,73,60,10.0,3.0,7.3,24.333333333333332,20.0,1974-03-01,Right_Hand,Right-arm fast-medium,Australia
SM Pollock,301,276,46.0,11.0,6.543478260869565,27.363636363636363,25.09090909090909,1973-07-16,Right_Hand,Right-arm fast-medium,South Africa
SMSM Senanayake,209,192,32.0,9.0,6.53125,23.22222222222222,21.333333333333332,1985-02-09,Right_Hand,Right-arm offbreak,Sri Lanka
SN Khan,6,2,0.3333333333333333,0.0,18.0,,,1997-10-27,Right_Hand,Legbreak,India
SN Thakur,1096,708,118.0,36.0,9.288135593220339,30.444444444444443,19.666666666666668,1991-10-16,Right_Hand,Right-arm medium,India
SP Narine,2884,2563,427.1666666666667,122.0,6.751463129145533,23.639344262295083,21.008196721311474,1988-05-26,Left_Hand,Right-arm offbreak,West Indies
SPD Smith,5,2,0.3333333333333333,0.0,15.0,,,1989-06-02,Right_Hand,Legbreak googly,India
SR Tendulkar,58,36,6.0,0.0,9.666666666666666,,,1973-04-24,Right_Hand,Right-arm offbreak,India
SR Watson,2691,2029,338.1666666666667,92.0,7.957614588467225,29.25,22.054347826086957,1981-06-17,Right_Hand,Right-arm fast-medium,Australia
SS Agarwal,42,24,4.0,1.0,10.5,42.0,24.0,,Right_Hand,Legbreak googly,
SS Mundhe,6,6,1.0,1.0,6.0,6.0,6.0,1988-10-27,Right_Hand,Right-arm medium,India
SS Sarkar,34,25,4.166666666666667,1.0,8.16,34.0,25.0,1984-12-15,Right_Hand,Right-arm medium,India
ST Jayasuriya,390,294,49.0,13.0,7.959183673469388,30.0,22.615384615384617,1969-06-30,Left_Hand,Slow left-arm orthodox,Sri Lanka
STR Binny,762,595,99.16666666666667,22.0,7.6840336134453775,34.63636363636363,27.045454545454547,1984-06-03,Right_Hand,Right-arm medium,India
SW Tait,640,473,78.83333333333333,23.0,8.118393234672306,27.82608695652174,20.565217391304348,1983-02-22,Right_Hand,Right-arm fast,Australia
Sachin Baby,8,10,1.6666666666666667,2.0,4.8,4.0,5.0,1988-12-18,Left_Hand,Right-arm offbreak,India
Sandeep Sharma,1930,1489,248.16666666666666,83.0,7.777031564808596,23.253012048192772,17.93975903614458,1993-05-18,Right_Hand,Right-arm medium,India
Shahid Afridi,225,180,30.0,9.0,7.5,25.0,20.0,1980-03-01,Right_Hand,Legbreak googly,Pakistan
Shakib Al Hasan,1661,1329,221.5,59.0,7.498871331828442,28.152542372881356,22.52542372881356,1987-03-24,Left_Hand,Slow left-arm orthodox,Bangladesh
Shivam Sharma,165,114,19.0,4.0,8.68421052631579,41.25,28.5,1993-09-09,Right_Hand,Right-arm offbreak,India
Shoaib Ahmed,152,102,17.0,5.0,8.941176470588236,30.4,20.4,1990-08-17,Right_Hand,Right-arm fast-medium,Pakistan
Shoaib Akhtar,54,42,7.0,5.0,7.714285714285714,10.8,8.4,1975-08-13,Right_Hand,Right-arm fast,Pakistan
Shoaib Malik,85,51,8.5,2.0,10.0,42.5,25.5,1982-02-01,Right_Hand,Right-arm offbreak,Pakistan
Sohail Tanvir,266,247,41.166666666666664,22.0,6.461538461538462,12.090909090909092,11.227272727272727,1984-12-12,Left_Hand,Left-arm medium-fast,Pakistan
Sunny Gupta,47,18,3.0,0.0,15.666666666666666,,,1988-09-27,Right_Hand,Right-arm offbreak,India
Swapnil Singh,90,60,10.0,1.0,9.0,90.0,60.0,1991-01-22,Right_Hand,Slow left-arm orthodox,India
T Curran,121,61,10.166666666666666,6.0,11.901639344262296,20.166666666666668,10.166666666666666,,Right_hand,Right-arm fast-medium,
T Henderson,40,36,6.0,1.0,6.666666666666667,40.0,36.0,1974-08-01,Right_Hand,Right-arm fast-medium,South Africa
T Natarajan,115,76,12.666666666666666,2.0,9.078947368421053,57.5,38.0,,Left_Hand,Left-arm fast-medium,
T Shamsi,147,96,16.0,3.0,9.1875,49.0,32.0,1990-02-18,Right_Hand,Slow left-arm chinaman,South Africa
T Thushara,161,135,22.5,8.0,7.155555555555556,20.125,16.875,1981-03-01,Left_Hand,Left-arm fast-medium,Sri Lanka
TA Boult,1149,765,127.5,38.0,9.011764705882353,30.236842105263158,20.13157894736842,1989-07-22,Right_Hand,Left-arm fast-medium,New Zealand
TG Southee,1317,888,148.0,28.0,8.89864864864865,47.035714285714285,31.714285714285715,1988-12-11,Right_Hand,Right-arm medium-fast,New Zealand
TL Suman,197,150,25.0,6.0,7.88,32.833333333333336,25.0,1983-12-15,Right_Hand,Right-arm offbreak,India
TM Dilshan,366,271,45.166666666666664,5.0,8.103321033210333,73.2,54.2,1976-10-14,Right_Hand,Right-arm offbreak,Sri Lanka
TM Head,81,48,8.0,2.0,10.125,40.5,24.0,1993-12-29,Left_Hand,Right-arm offbreak,Australia
TP Sudhindra,136,70,11.666666666666666,1.0,11.657142857142858,136.0,70.0,1984-04-24,Left_Hand,Right-arm fast,India
TS Mills,153,107,17.833333333333332,5.0,8.57943925233645,30.6,21.4,,Right_hand,Left-arm fast,
Tejas Baroka,33,21,3.5,0.0,9.428571428571429,,,,,Legbreak googly,
UT Yadav,3550,2489,414.8333333333333,119.0,8.557653676175171,29.831932773109244,20.915966386554622,1987-10-25,Right_Hand,Right-arm fast-medium,India
Umar Gul,184,135,22.5,12.0,8.177777777777777,15.333333333333334,11.25,1984-04-14,Right_Hand,Right-arm fast-medium,Pakistan
V Chakravarthy,35,18,3.0,1.0,11.666666666666666,35.0,18.0,,Right_Hand,Legbreak,
V Kohli,368,251,41.833333333333336,4.0,8.796812749003983,92.0,62.75,1988-11-05,Right_Hand,Right-arm medium,India
V Pratap Singh,296,204,34.0,10.0,8.705882352941176,29.6,20.4,1992-05-03,Right_Hand,Right-arm medium,India
V Sehwag,235,136,22.666666666666668,6.0,10.367647058823529,39.166666666666664,22.666666666666668,1978-10-20,Right_Hand,Right-arm offbreak,India
V Shankar,154,85,14.166666666666666,2.0,10.870588235294118,77.0,42.5,1991-01-26,Right_Hand,Right-arm medium,India
VR Aaron,1349,916,152.66666666666666,42.0,8.836244541484717,32.11904761904762,21.80952380952381,1989-10-29,Right_Hand,Right-arm fast,India
VRV Singh,542,360,60.0,12.0,9.033333333333333,45.166666666666664,30.0,1984-09-17,Right_Hand,Right-arm medium-fast,India
VS Malik,261,205,34.166666666666664,6.0,7.639024390243903,43.5,34.166666666666664,1983-05-09,Right_Hand,Right-arm medium,India
VS Yeligati,59,30,5.0,0.0,11.8,,,1985-04-23,Right_Hand,Right-arm offbreak,India
VY Mahesh,499,339,56.5,21.0,8.831858407079647,23.761904761904763,16.142857142857142,1987-12-21,Right_Hand,Right-arm medium-fast,India
WA Mota,97,72,12.0,4.0,8.083333333333334,24.25,18.0,1981-09-20,Right_Hand,Right-arm medium,India
WD Parnell,701,572,95.33333333333333,26.0,7.353146853146853,26.96153846153846,22.0,1989-07-30,Left_Hand,Left-arm medium-fast,South Africa
WPUJC Vaas,355,282,47.0,18.0,7.553191489361702,19.72222222222222,15.666666666666666,1974-01-27,Left_Hand,Left-arm fast-medium,Sri Lanka
Washington Sundar,460,354,59.0,16.0,7.796610169491525,28.75,22.125,,Left_Hand,Right-arm offbreak,
Y Gnaneswara Rao,7,6,1.0,0.0,7.0,,,1984-08-25,Right_Hand,Right-arm medium,India
Y Nagar,125,66,11.0,4.0,11.363636363636363,31.25,16.5,1990-01-06,Right_Hand,Right-arm offbreak,India
Y Venugopal Rao,337,216,36.0,6.0,9.36111111111111,56.166666666666664,36.0,1982-02-26,Right_Hand,Right-arm offbreak,India
YA Abdulla,307,209,34.833333333333336,15.0,8.813397129186603,20.466666666666665,13.933333333333334,1983-01-17,Left_Hand,Left-arm fast-medium,India
YK Pathan,1415,1147,191.16666666666666,42.0,7.401918047079338,33.69047619047619,27.30952380952381,1982-11-17,Right_Hand,Right-arm offbreak,India
YS Chahal,2366,1788,298.0,100.0,7.939597315436242,23.66,17.88,1990-07-23,Right_Hand,Legbreak googly,India
Yuvraj Singh,1078,869,144.83333333333334,36.0,7.443037974683544,29.944444444444443,24.13888888888889,1981-12-12,Left_Hand,Slow left-arm orthodox,India
Z Khan,2782,2200,366.6666666666667,102.0,7.587272727272727,27.274509803921568,21.568627450980394,1978-10-07,Right_Hand,Left-arm fast-medium,India
